categories,background,settings ,payment,product ,functionality,order ,app ,,short forms
synonyms,bg,account,bill,avail,acsending ,address,alexa,,synonyms
,black,account settings,billing,availability,add to cart,date,amazon counter,,similar phrases
,blue,add account,card,available,ads,delivery,amazon fresh,,words
,browser,agreement,cash,barcode,advertisement,delivery date,amazon locker,,
,button,Chinese,cash card,book,adverts,delivery fee,amazon prime,,
,crash,confirmation,charge,code,alert ,delivery message,amazon smile,,
,dark mode,create account,cost,content,auth,delivery msg,benefit,,
,day mode,data,credit card,deal,authentication,delivery notif,charity,,
,desktop,delete account,debit card,desc,auto,delivery notification,deals,,
,devices,email,fee,description,autoload,delivery popup,diction,,
,freedom,English,money,disc,autoplay,delivery time,donate,,
,glitch,language,pay back,discount,batt,exchange,fresh,,
,green,log out,payment,images,battery,loc,gaming,,
,issue,login,policy,in stock,bookmark,location,groceries,,
,lag,network,price,link,bookmarked,order hist,grocery,,
,light mode,password,price tag,list,browsing history,order history,less fortunate,,
,loading,profile,purchase,listings,bug,order page,locker,,
,loading screen,pw,qr,merchant,buggy,order processing,market,,
,minimise page,reset password,qr code,music,cache,order status,marketplace,,
,mobile,setting,receipt,pic,cart,package,member,,
,night mode,sign in,refund,picture,character ,parcel,membership,,
,online,sign out,reset password,product quality,chat,place,mic,,
,option,sign up,return,product videos,cs,purchase hist,mic button,,
,orange,Spanish,secure,qty,customer experience,purchase history,microphone,,
,page,sync,security,qual,customer service,ship,minimart,,
,phone,system,transaction,quantity,customer support,shipping,perks,,
,press,terms and condition,,rating,cx,shipping fee,pickup,,
,purple,tnc,,review,descending,shopping,poor,,
,red,user account,,sale,explore,status,prime,,
,screen,verification,,scan,explored,swap,prime gaming,,
,sensitivity,vpn,,seller,field,trace,produce,,
,tablet,,,star,field ,tracing system,reward,,
,touch,,,stock,fields,track,shopping market,,
,touch sensitivity,,,supplier,filter,tracking system,siri,,
,ui,,,supply,hunt,venue,smile,,
,user experience,,,text,infomercials,,speak,,
,ux,,,url,irk,,speech,,
,violet,,,vendor,junk ,,sub,,
,web,,,vid,live,,subscribe,,
,website,,,video,livestream,,subscription,,
,white,,,video review,look,,supermarket,,
,yellow,,,video thumbnails,mark,,,,
,,,,,marketing advertisements,,,,
,,,,,menu,,,,
,,,,,message,,,,
,,,,,msg,,,,
,,,,,msgs,,,,
,,,,,navigate,,,,
,,,,,navigation,,,,
,,,,,notif,,,,
,,,,,notification,,,,
,,,,,notification system,,,,
,,,,,notifications,,,,
,,,,,notified,,,,
,,,,,notify,,,,
,,,,,online chat,,,,
,,,,,options,,,,
,,,,,pop-up,,,,
,,,,,popup,,,,
,,,,,reload,,,,
,,,,,result,,,,
,,,,,results,,,,
,,,,,save,,,,
,,,,,saved,,,,
,,,,,search,,,,
,,,,,search filter,,,,
,,,,,searched,,,,
,,,,,shopping list,,,,
,,,,,sort,,,,
,,,,,sorting,,,,
,,,,,spam,,,,
,,,,,stream,,,,
,,,,,streaming,,,,
,,,,,symbol,,,,
,,,,,unwanted,,,,
,,,,,update,,,,
,,,,,updated,,,,
,,,,,updates,,,,
,,,,,updating,,,,
,,,,,validation ,,,,
,,,,,want list,,,,
,,,,,want lists,,,,
,,,,,widget,,,,
,,,,,wish ,,,,
,,,,,wish list,,,,
,,,,,wishlist,,,,
,,,,,wishlists,,,,