categories,UI/UX (jieling),settings (jieling),payment (zach),product (zach),functionality (weilun),order (zach),app (zach),,short forms
synonyms,background,account settings,billing,availability,advertisement,delivery,alexa,,synonyms
,bg,account,card,barcode,authentication,delivery date,amazon fresh,,similar phrases
,black,profile,price,book,autoplay,delivery notification,amazon locker,,words
,red,create account,purchase,content,battery,delivery time,amazon smile,,
,orange,delete account,refund,deal,browsing history,exchange,benefit,,
,yellow,setting,return,images,bug,item updates,deals,,
,green,user account,security,link,cart,order history,gaming,,
,blue,data,,list,customer experience,order page,membership,,
,violet,add account,receipt,listings,customer service,order processing,prime,,
,purple,agreement,money,music,customer support,order status,reward,,
,white,tnc,cash,product quality,fields,package,subscription,,
,screen,terms and condition,policy,product videos,filter,shipping,update,,
,browser,policy,bill,scan,infomercials,shopping,,,
,web,email,price tag,seller,live,tracking system,diction,,
,online,language,credit card,video review,livestream,,speech,,
,bug,Spanish,cash card,video thumbnails,marketing advertisements,track,speak,,
,issue,English,debit card,,menu,date,mic,,
,glitch,Chinese,secure,available,message,swap,mic button,,
,lag,password,transaction,stock,notification system,status,groceries,,
,loading,reset password,reset password,in stock,notifications,shipping fee,shopping market,,
,crash,pw,charge,sale,online chat,delivery fee,marketplace,,
,button,login,fee,rating,popup,trace,supermarket,,
,dark mode,sign in,cost,discount,save,tracing system,minimart,,
,night mode,sign up,pay back,code,search,parcel,pickup,,
,light mode,log out,payment,description,sorting,location,amazon counter,,
,day mode,sign out,qr code,text,spam,venue,donate,,
,devices,system,qr,video,streaming,address,charity,,
,mobile,sync,,quantity,symbol,place,poor,,
,website,verification,,star,update,ship,less fortunate,,
,phone,validation,,review,widget,fee,amazon prime,,
,tablet,confirmation,,supply,wishlist,loc,prime gaming,,
,desktop,vpn,,picture,cs,order hist,perks,,
,loading screen,network,,vendor,ads,purchase hist,subscribe,,
,minimise page,,,merchant,cx,purchase history,fresh,,
,page,,,supplier,auth,delivery notif,locker,,
,touch sensitivity,,,vid,ad,delivery popup,smile,,
,touch,,,img,batt,delivery message,siri,,
,sensitivity,,,avail,buggy,delivery msg,alex,,
,press,,,qty,add to cart,shipping charge,member,,
,user experience,,,qual,field ,,sub,,
,option,,,url,reload,,grocery,,
,freedom,,,desc,autoload,,produce,,
,,,,pic,auto,,microphone,,
,,,,disc,validation ,,market,,
,,,,,cache,,,,
,,,,,irk,,,,
,,,,,field,,,,
,,,,,results,,,,
,,,,,result,,,,
,,,,,options,,,,
,,,,,search filter,,,,
,,,,,adverts,,,,
,,,,,msgs,,,,
,,,,,msg,,,,
,,,,,notification,,,,
,,,,,notif,,,,
,,,,,notify,,,,
,,,,,notified,,,,
,,,,,alert ,,,,
,,,,,pop-up,,,,
,,,,,chat,,,,
,,,,,sort,,,,
,,,,,acsending ,,,,
,,,,,descending,,,,
,,,,,wish ,,,,
,,,,,shopping list,,,,
,,,,,updates,,,,
,,,,,updated,,,,
,,,,,updating,,,,
,,,,,junk ,,,,
,,,,,unwanted,,,,
,,,,,stream,,,,
,,,,,character ,,,,
,,,,,mark,,,,
,,,,,saved,,,,
,,,,,bookmark,,,,
,,,,,bookmarked,,,,
,,,,,look,,,,
,,,,,hunt,,,,
,,,,,explore,,,,
,,,,,searched,,,,
,,,,,explored,,,,
,,,,,wish list,,,,
,,,,,navigate,,,,
,,,,,navigation,,,,
,,,,,want list,,,,
,,,,,want lists,,,,
,,,,,wishlists,,,,